                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2566,                 1.7263,                 1.2365,                0.53618,                0.31078,                0.36783,                 0.1795,                  1.663,                  3.863,                 2.1111,              0.0006595,              0.0006595,              0.0006595
                      2,                0.99872,                 1.0215,                 1.0599,                0.42174,                0.15874,                0.14999,                 0.0761,                 2.6058,                 4.0774,                 3.1245,              0.0013087,              0.0013087,              0.0013087
                      3,                0.96039,                0.90853,                 1.0435,                0.25096,                0.28431,                0.16999,                0.06766,                 2.7263,                 3.3161,                 3.9034,              0.0019402,              0.0019402,              0.0019402
                      4,                0.92577,                0.82507,                 1.0276,                0.21065,                0.11373,                0.06741,                0.03046,                 2.6251,                 3.8711,                  3.138,              0.0019208,              0.0019208,              0.0019208
                      5,                0.87953,                0.74803,                 1.0126,                0.19605,                 0.2402,                0.12004,                0.04498,                 2.9162,                 4.0332,                 4.1098,              0.0019208,              0.0019208,              0.0019208
                      6,                0.86092,                0.70955,                  1.008,                0.40728,                0.28039,                 0.2317,                0.08944,                  2.698,                 2.7928,                 3.6717,              0.0018944,              0.0018944,              0.0018944
                      7,                0.82657,                0.67623,                0.99126,                0.34377,                0.26176,                0.23175,                0.12441,                 2.7088,                 2.6611,                 3.5744,               0.001868,               0.001868,               0.001868
                      8,                0.82405,                 0.6655,                0.99015,                0.32809,                0.34314,                0.27818,                0.15435,                 2.6656,                 2.7958,                 3.4245,              0.0018416,              0.0018416,              0.0018416
                      9,                0.80149,                0.63696,                0.98105,                0.34941,                0.20196,                0.16645,                  0.081,                   2.52,                 3.1861,                 3.2723,              0.0018152,              0.0018152,              0.0018152
                     10,                0.78632,                0.62744,                0.97941,                0.46465,                0.33431,                0.31671,                0.14283,                 2.8108,                 2.8924,                 3.6011,              0.0017888,              0.0017888,              0.0017888
                     11,                0.76031,                0.59187,                0.96894,                0.53147,                0.27358,                0.29628,                0.13578,                  2.664,                 3.0056,                 3.5461,              0.0017624,              0.0017624,              0.0017624
                     12,                0.76149,                0.59724,                0.97118,                 0.4689,                0.24118,                0.21968,                0.11022,                 2.5633,                 4.2649,                  3.545,               0.001736,               0.001736,               0.001736
                     13,                0.75351,                0.57992,                0.96638,                0.31333,                0.38039,                0.27904,                0.13842,                  2.455,                 2.5261,                 3.3256,              0.0017096,              0.0017096,              0.0017096
                     14,                0.75424,                0.58564,                0.96861,                0.53645,                0.26078,                0.28914,                0.14587,                 2.9477,                 3.0874,                  3.601,              0.0016832,              0.0016832,              0.0016832
                     15,                0.73374,                0.56291,                0.96032,                0.50418,                0.43333,                0.40745,                0.20787,                 2.5097,                 2.3658,                 3.3738,              0.0016568,              0.0016568,              0.0016568
                     16,                0.71791,                0.54584,                0.95314,                0.44775,                0.27843,                0.25736,                0.12451,                 2.5076,                 2.9585,                  3.585,              0.0016304,              0.0016304,              0.0016304
                     17,                0.71331,                0.54584,                0.95074,                0.35707,                 0.3402,                0.28804,                  0.145,                 2.4188,                 2.3531,                 3.5189,               0.001604,               0.001604,               0.001604
                     18,                0.70491,                0.52759,                0.95004,                 0.5603,                0.28333,                0.32005,                 0.1815,                 2.4636,                 2.7533,                 3.5378,              0.0015776,              0.0015776,              0.0015776
                     19,                0.71022,                0.53293,                0.95334,                0.36597,                0.22863,                0.18392,                0.10466,                 2.4315,                 3.5715,                 3.4189,              0.0015512,              0.0015512,              0.0015512
                     20,                0.71019,                0.53443,                0.95233,                0.39433,                0.34902,                0.29071,                 0.1432,                 2.6381,                 2.2695,                 3.4866,              0.0015248,              0.0015248,              0.0015248
                     21,                0.69133,                0.51489,                0.93997,                0.43131,                0.36509,                  0.328,                0.17877,                 2.4518,                 2.6553,                 3.4437,              0.0014984,              0.0014984,              0.0014984
                     22,                0.68605,                0.51423,                0.94214,                0.41101,                0.27353,                 0.2398,                  0.133,                 2.3994,                 3.1868,                 3.4151,               0.001472,               0.001472,               0.001472
                     23,                0.67417,                0.50188,                 0.9348,                0.42802,                 0.3184,                0.28055,                0.13023,                 2.5547,                 3.3531,                 3.5913,              0.0014456,              0.0014456,              0.0014456
                     24,                0.68243,                0.50263,                0.93947,                0.51043,                0.34804,                 0.3249,                0.17369,                 2.4691,                 2.7398,                 3.4088,              0.0014192,              0.0014192,              0.0014192
                     25,                0.67664,                0.50542,                0.94339,                0.48685,                0.40784,                0.38836,                 0.2229,                  2.269,                 2.3275,                 3.2377,              0.0013928,              0.0013928,              0.0013928
                     26,                0.65196,                0.48579,                0.92802,                0.54586,                 0.3902,                0.38414,                0.20613,                 2.1882,                 2.3609,                 3.0505,              0.0013664,              0.0013664,              0.0013664
                     27,                0.65281,                0.48634,                 0.9335,                0.57088,                0.23999,                0.27528,                0.14755,                 2.4916,                 3.3032,                 3.4585,                0.00134,                0.00134,                0.00134
                     28,                0.64985,                0.48021,                0.92764,                0.33935,                0.20043,                0.16958,                0.09391,                 2.5697,                 4.3414,                 3.6206,              0.0013136,              0.0013136,              0.0013136
                     29,                0.64446,                0.47053,                0.92794,                0.55724,                0.39314,                 0.4212,                0.23119,                 2.4067,                 2.4075,                 3.2476,              0.0012872,              0.0012872,              0.0012872
                     30,                0.64856,                0.47478,                 0.9275,                0.38069,                0.19216,                0.17593,                0.08448,                 2.4339,                 3.0593,                 3.4173,              0.0012608,              0.0012608,              0.0012608
                     31,                0.64137,                0.47148,                0.92261,                0.60359,                0.42247,                0.47981,                0.27614,                 2.2848,                 1.9163,                 3.2616,              0.0012344,              0.0012344,              0.0012344
                     32,                0.63897,                0.47096,                0.92098,                0.53741,                0.43529,                0.44029,                0.22856,                 2.4294,                 2.2562,                 3.2083,               0.001208,               0.001208,               0.001208
                     33,                 0.6319,                0.46016,                0.92083,                0.62329,                0.49608,                0.47177,                0.25709,                  2.424,                 2.0858,                 3.2209,              0.0011816,              0.0011816,              0.0011816
                     34,                0.62331,                0.45526,                0.91921,                0.52262,                0.36863,                0.38033,                0.19532,                 2.3656,                 2.3785,                 3.2636,              0.0011552,              0.0011552,              0.0011552
                     35,                0.62743,                  0.459,                0.92201,                0.56247,                0.45294,                0.47358,                0.26308,                 2.1918,                 1.9556,                 3.0098,              0.0011288,              0.0011288,              0.0011288
                     36,                0.62104,                0.44401,                0.91488,                0.65369,                0.42549,                0.46054,                0.26813,                 2.2812,                 2.1779,                 3.1473,              0.0011024,              0.0011024,              0.0011024
                     37,                0.62159,                0.44359,                0.91287,                0.57169,                0.33824,                0.34987,                0.21987,                  2.219,                 2.7975,                 3.0332,               0.001076,               0.001076,               0.001076
                     38,                0.61966,                0.43772,                0.91657,                0.64988,                0.54958,                0.59372,                 0.3288,                  2.203,                 1.7412,                 3.1389,              0.0010496,              0.0010496,              0.0010496
                     39,                0.61088,                0.43964,                0.91271,                0.57719,                 0.4451,                0.46365,                0.26527,                 2.3332,                 2.1206,                 3.1042,              0.0010232,              0.0010232,              0.0010232
                     40,                0.61901,                0.44167,                0.91651,                0.45966,                0.46454,                0.41559,                0.21036,                 2.2877,                 2.2848,                 3.0564,              0.0009968,              0.0009968,              0.0009968
                     41,                0.59864,                0.43005,                0.90443,                0.60695,                0.43431,                0.44474,                0.25962,                 2.2036,                 2.5276,                  2.972,              0.0009704,              0.0009704,              0.0009704
                     42,                0.60393,                0.43128,                0.91087,                0.43554,                 0.3098,                0.28263,                0.15243,                 2.3732,                 2.8739,                 3.1496,               0.000944,               0.000944,               0.000944
                     43,                0.59276,                0.41525,                0.90367,                0.52676,                0.40882,                0.40551,                0.21959,                 2.3464,                 2.5176,                 3.1973,              0.0009176,              0.0009176,              0.0009176
                     44,                0.59764,                0.42312,                0.91274,                0.56247,                0.39118,                0.39404,                 0.2112,                 2.3497,                 2.5276,                 3.2748,              0.0008912,              0.0008912,              0.0008912
                     45,                0.58949,                0.42128,                0.90757,                0.56884,                0.47255,                0.47148,                0.23749,                 2.2911,                 2.1667,                 3.1427,              0.0008648,              0.0008648,              0.0008648
                     46,                0.59776,                0.41803,                0.90579,                0.54263,                0.48271,                0.46453,                0.23702,                  2.346,                 2.3351,                 3.1316,              0.0008384,              0.0008384,              0.0008384
                     47,                0.58374,                0.41054,                0.90412,                0.56744,                0.37353,                0.36092,                0.15081,                  2.511,                 2.5149,                 3.3505,               0.000812,               0.000812,               0.000812
                     48,                0.58112,                0.41188,                0.89964,                 0.5838,                0.29902,                0.29374,                0.16714,                 2.3261,                 3.2738,                 3.3273,              0.0007856,              0.0007856,              0.0007856
                     49,                0.57956,                0.41235,                0.90521,                0.50213,                0.43431,                0.42443,                0.21404,                  2.299,                 2.2565,                 3.0004,              0.0007592,              0.0007592,              0.0007592
                     50,                0.57457,                0.40216,                0.90232,                0.49524,                0.47036,                0.43994,                0.20289,                 2.2839,                  2.147,                 3.0924,              0.0007328,              0.0007328,              0.0007328
                     51,                 0.5789,                0.40124,                0.89715,                0.41974,                0.41416,                0.34454,                0.16193,                 2.3252,                 2.4912,                 2.9869,              0.0007064,              0.0007064,              0.0007064
                     52,                0.57672,                0.39644,                0.90214,                0.45774,                0.28386,                0.27277,                0.13742,                 2.2579,                 3.0433,                 3.0377,                0.00068,                0.00068,                0.00068
                     53,                0.56239,                0.38835,                0.89413,                0.49142,                0.45686,                0.44573,                0.21422,                 2.2122,                 2.6466,                 3.0381,              0.0006536,              0.0006536,              0.0006536
                     54,                0.57212,                0.39686,                0.90198,                0.43656,                 0.2993,                0.26315,                0.13309,                 2.3332,                 2.7334,                 3.1354,              0.0006272,              0.0006272,              0.0006272
                     55,                0.55636,                0.38601,                0.89596,                 0.4904,                0.29908,                0.27412,                0.11822,                 2.4718,                 2.8028,                 3.1776,              0.0006008,              0.0006008,              0.0006008
                     56,                0.56008,                0.38845,                0.89435,                0.58774,                0.35686,                0.36701,                0.21132,                 2.3434,                 3.0018,                 3.0802,              0.0005744,              0.0005744,              0.0005744
                     57,                 0.5531,                0.38279,                0.89098,                0.44093,                0.29804,                0.27629,                0.16073,                 2.4613,                 2.8248,                 3.3437,               0.000548,               0.000548,               0.000548
                     58,                0.56268,                0.38773,                0.89572,                0.46891,                0.27059,                0.23838,                0.13182,                 2.4242,                 3.1865,                 3.2877,              0.0005216,              0.0005216,              0.0005216
                     59,                0.54924,                0.37183,                0.88905,                0.36631,                0.29243,                0.23222,                0.12384,                 2.4798,                 2.8999,                 3.2889,              0.0004952,              0.0004952,              0.0004952
                     60,                0.55839,                0.37993,                0.89372,                0.50537,                0.45176,                 0.4172,                0.23987,                 2.2758,                 2.2477,                 3.0205,              0.0004688,              0.0004688,              0.0004688
                     61,                 0.5467,                0.37002,                0.89423,                0.50049,                0.41471,                0.40723,                 0.2329,                 2.2672,                 2.3533,                 3.0276,              0.0004424,              0.0004424,              0.0004424
                     62,                0.55118,                0.37287,                 0.8919,                0.46283,                 0.3607,                0.34755,                0.18271,                 2.2528,                 2.4976,                 3.0441,               0.000416,               0.000416,               0.000416
                     63,                0.53113,                0.36274,                0.88854,                0.46992,                0.37157,                0.35587,                0.17511,                  2.216,                 2.4708,                 3.0075,              0.0003896,              0.0003896,              0.0003896
                     64,                0.53273,                0.35889,                0.88639,                0.49097,                0.37549,                0.36382,                0.17927,                 2.2996,                 2.4868,                 3.1283,              0.0003632,              0.0003632,              0.0003632
                     65,                0.52966,                0.35991,                0.88829,                0.51634,                0.34804,                0.33722,                0.17462,                 2.2772,                 2.6907,                  3.054,              0.0003368,              0.0003368,              0.0003368
                     66,                0.51201,                0.33597,                0.87311,                0.58824,                0.40477,                0.41758,                0.22302,                  2.254,                 2.5132,                 3.1637,              0.0003104,              0.0003104,              0.0003104
                     67,                0.50122,                0.32271,                0.86966,                0.47271,                0.42353,                0.38184,                0.19253,                 2.3011,                 2.3788,                 3.1076,               0.000284,               0.000284,               0.000284
                     68,                0.50975,                0.32474,                0.87268,                0.43153,                0.43235,                 0.3545,                0.16002,                 2.2585,                  2.729,                 3.0918,              0.0002576,              0.0002576,              0.0002576
                     69,                0.49098,                0.31028,                0.86028,                0.44449,                0.41891,                0.35658,                0.15159,                  2.174,                 2.4004,                 2.9829,              0.0002312,              0.0002312,              0.0002312
                     70,                0.48333,                0.30164,                0.86507,                0.60883,                0.43793,                0.44476,                0.21216,                 2.2546,                  2.234,                 3.0604,              0.0002048,              0.0002048,              0.0002048
                     71,                0.49536,                0.31394,                0.86608,                0.52443,                 0.4098,                0.38563,                0.17997,                 2.2214,                 2.3502,                 3.0573,              0.0001784,              0.0001784,              0.0001784
                     72,                0.48604,                0.30615,                0.86343,                0.54852,                 0.4145,                0.40669,                0.20575,                 2.2524,                 2.2899,                 3.1309,               0.000152,               0.000152,               0.000152
                     73,                0.48307,                0.30691,                0.86224,                0.55859,                0.42157,                0.42809,                0.20963,                 2.2084,                 2.2362,                  3.095,              0.0001256,              0.0001256,              0.0001256
                     74,                0.47614,                0.29843,                0.85654,                0.58296,                0.43922,                0.43218,                0.20748,                 2.1889,                 2.3799,                 3.0846,               9.92e-05,               9.92e-05,               9.92e-05
                     75,                0.48049,                0.30449,                0.86653,                0.56372,                0.39804,                0.39887,                0.19264,                 2.2104,                 2.4235,                 3.1257,               7.28e-05,               7.28e-05,               7.28e-05
